code,title,points_r1_2021,points_r1_2020,points_r1_2019
GY111,Arts (English and Creative Writing),421.0,330.0,472.0
GY113,Arts with Human Rights,413.0,368.0,409.0
GY115,Arts with Performing Arts Studies,300.0,387.0,367.0
GY118,Arts (Drama  Theatre and Performance Studies),453.0,451.0,451.0
GY119,Arts (Journalism),484.0,400.0,475.0
GY122,Na Dána (Cumarsáid agus Gaeilge),410.0,361.0,399.0
GY123,Applied Social Sciences,419.0,358.0,388.0
GY125,Arts (Digital Arts and Technology),403.0,328.0,379.0
GY127,Arts (Film and Digital Media),430.0,401.0,435.0
GY128,Arts (Global Languages),346.0,352.0,440.0
GY129,Arts (Global Experience),465.0,420.0,477.0
GY130,Arts (Music),462.0,408.0,444.0
GY132,Government (Politics  Economics and Law),465.0,407.0,444.0
GY133,Education (Computer Science and Mathematical Studi,454.0,422.0,466.0
GY201,Commerce,476.0,433.0,453.0
GY202,Commerce (International) with French,520.0,484.0,513.0
GY203,Commerce (International) with German,518.0,489.0,541.0
GY204,Commerce (International) with Spanish,506.0,495.0,500.0
GY206,Business Information Systems (Work Placement and O,509.0,465.0,445.0
GY207,Commerce (Accounting) including optional Global Ex,543.0,509.0,510.0
GY208,Commerce (Gaeilge),508.0,473.0,488.0
GY209,Commerce (Global Experience),551.0,530.0,531.0
GY250,Law and Business,510.0,487.0,467.0
GY251,Law (BCL),542.0,499.0,498.0
GY252,Law (BCL) and Human Rights,565.0,520.0,521.0
GY261,Business Studies in International Hotel Management,503.0,497.0,615.0
GY262,Commerce in International Hotel Management (interv,709.0,681.0,726.0
GY301,Science,489.0,433.0,456.0
GY303,Biomedical Science,613.0,556.0,566.0
GY304,Biotechnology,498.0,465.0,507.0
GY308,Environmental Science,431.0,408.0,440.0
GY309,Financial Mathematics and Economics,509.0,487.0,498.0
GY310,Marine Science,467.0,419.0,456.0
GY313,Environmental Health and Safety,412.0,412.0,435.0
GY314,Earth and Ocean Sciences,422.0,403.0,425.0
GY318,Biopharmaceutical Chemistry,555.0,509.0,532.0
GY319,Mathematical Science,543.0,476.0,531.0
GY320,Physics (Degree options: Applied Astrophysics Biom,465.0,402.0,487.0
GY350,Computer Science and Information Technology,495.0,403.0,466.0
GY401,Engineering (Undenominated),522.0,465.0,499.0
GY402,Civil Engineering,533.0,455.0,543.0
GY405,Mechanical Engineering,541.0,454.0,499.0
GY406,Electronic and Computer Engineering,555.0,510.0,547.0
GY408,Biomedical Engineering,554.0,509.0,543.0
GY410,Project and Construction Management,431.0,403.0,464.0
GY413,Energy Systems Engineering,509.0,502.0,589.0
GY414,Electrical and Electronic Engineering,433.0,405.0,487.0
GY501,Medicine (five year/six year course  HPAT required,,728.0,731.0
GY502,Occupational Therapy,601.0,555.0,543.0
GY503,Speech and Language Therapy,578.0,543.0,543.0
GY504,Podiatric Medicine,531.0,443.0,463.0
GY515,General Nursing (Galway and Portiuncula),502.0,476.0,466.0
GY516,Mental Health Nursing,475.0,440.0,413.0
GY517,Midwifery,520.0,495.0,468.0
LY108,Business - Accounting,312.0,309.0,399.0
LY118,Business,288.0,290.0,352.0
LY208,Law,300.0,300.0,359.0
LY228,Sports and Exercise - Common Entry,290.0,300.0,330.0
LY408,Design - Common Entry,301.0,320.0,368.0
LY508,Fire Safety Engineering,283.0,276.0,299.0
LY518,Quantity Surveying,304.0,301.0,368.0
LY528,Construction Management,262.0,271.0,291.0
LY608,Mechanical Engineering,300.0,300.0,333.0
LY618,Electronic Engineering,321.0,312.0,339.0
LY708,Applied Computing,320.0,306.0,348.0
LY818,Science - Common Entry,302.0,303.0,371.0
LY828,Agriculture - Common Entry,308.0,307.0,342.0
LY908,General Nursing,,400.0,390.0
LY918,Psychiatric Nursing,,357.0,332.0
LY928,Intellectual Disability Nursing,357.0,326.0,299.0
LY968,Early Childhood Care  Health and Education,288.0,303.0,336.0
LY978,Health and Social Care - Common Entry,279.0,280.0,299.0
MI001,Contemporary and Applied Theatre Studies,209.0,375.0,381.0
MI002,Arts,280.0,300.0,378.0
MI005,Education - Primary Teaching,522.0,495.0,506.0
MI006,Education - Primary Teaching - Gaeltacht Applicant,485.0,456.0,473.0
MI007,Early Childhood Care and Education,409.0,357.0,402.0
MI008,Education and Psychology - Primary Teaching,590.0,588.0,555.0
MI009,Education  Business Studies and Accounting,434.0,402.0,420.0
MI010,Education  Business Studies and Religious Studies,370.0,368.0,355.0
MI011,Education  Gaeilge and Religious Studies,407.0,409.0,387.0
MI012,Education  Gaeilge and Business Studies,387.0,401.0,440.0
MI013,Education  Mathematics and Gaeilge,509.0,444.0,465.0
LC110,Art and Design (Common Entry  portfolio),794.0,740.0,918.0
LC114,Fashion and Textiles for Product and Costume (port,914.0,880.0,988.0
